visitorid,num_items_viewed,view_count,firstview_to_cart,cart_to_transaction,bought_count,purchased,view_rate,purchase_rate
1035684,1,1,0.005,0.095,1,1,1.0,1.0
549579,1,4,0.0036111111111111,0.3019444444444444,1,1,0.25,0.25
1206306,1,2,0.02,0.0763888888888889,1,1,0.5,0.5
1234997,5,12,20.91614197530864,1.0049382716049384,2,1,0.4166666666666667,0.16666666666666666
1333540,2,3,0.0086111111111111,0.1308333333333333,1,1,0.6666666666666666,0.3333333333333333
1364680,4,7,0.1697222222222222,0.3861111111111111,1,1,0.5714285714285714,0.14285714285714285
1126660,1,1,1555.2022222222222,0.045,1,1,1.0,1.0
570958,1,1,,,0,0,1.0,0.0
240631,1,1,,,0,0,1.0,0.0
256094,5,20,914.6868055555552,0.0299999999999993,4,1,0.25,0.2
529765,1,1,,,0,0,1.0,0.0
918415,1,1,-58.5475,49.907222222222224,1,1,1.0,1.0
886402,2,7,105.2372222222222,1.2072222222222222,3,1,0.2857142857142857,0.42857142857142855
60025,9,18,,,1,1,0.5,0.05555555555555555
999814,1,2,0.0194444444444444,0.0147222222222222,1,1,0.5,0.5
155701,3,4,0.0119444444444444,0.1958333333333333,1,1,0.75,0.25
863157,1,1,,,0,0,1.0,0.0
1392946,39,69,0.2413888888888888,0.3651666666666665,2,1,0.5652173913043478,0.028985507246376812
65927,2,6,27.169166666666666,0.1019444444444444,1,1,0.3333333333333333,0.16666666666666666
565903,34,48,631.6415517241381,2.5678160919540227,17,1,0.7083333333333334,0.3541666666666667
1292917,1,1,,,0,0,1.0,0.0
802676,2,6,-1.2849305555555557,1.329375,1,1,0.3333333333333333,0.16666666666666666
685118,21,34,472.76816666666673,0.7598888888888888,3,1,0.6176470588235294,0.08823529411764706
1169406,1,1,,,0,0,1.0,0.0
1001869,1,1,,,0,0,1.0,0.0
468883,1,1,,,0,0,1.0,0.0
1055086,1,1,,,0,0,1.0,0.0
146458,1,1,,,1,1,1.0,1.0
472290,1,1,0.0041666666666666,0.9822222222222222,5,1,1.0,5.0
320993,4,5,336.6386111111111,41.85694444444445,1,1,0.8,0.2
1342970,1,2,,,0,0,0.5,0.0
1127708,1,1,,,0,0,1.0,0.0
349705,1,3,,,0,0,0.3333333333333333,0.0
86014,6,14,,,0,0,0.42857142857142855,0.0
603553,1,1,,,0,0,1.0,0.0
1206241,3,6,,,0,0,0.5,0.0
327760,1,1,,,0,0,1.0,0.0
143329,1,1,,,0,0,1.0,0.0
271410,4,5,0.0052777777777777,0.1419444444444444,1,1,0.8,0.2
797913,1,1,,,0,0,1.0,0.0
125197,1,2,1019.8113888888888,0.0616666666666666,1,1,0.5,0.5
32168,1,1,,,0,0,1.0,0.0
1016281,1,4,921.7011111111112,0.2191666666666666,1,1,0.25,0.25
199033,1,1,1817.2844444444445,0.1772222222222222,1,1,1.0,1.0
1154309,2,2,672.4241666666667,0.1683333333333333,1,1,1.0,0.5
82819,1,1,261.80611111111114,0.0325,1,1,1.0,1.0
175888,5,6,1297.6966666666667,0.0308333333333333,1,1,0.8333333333333334,0.16666666666666666
1075423,270,337,282.3090793650793,0.0492777777777777,48,1,0.8011869436201781,0.142433234421365
363691,1,1,,,0,0,1.0,0.0
1018216,1,2,476.72,0.2236111111111111,1,1,0.5,0.5
368241,1,1,1974.157222222222,0.1094444444444444,1,1,1.0,1.0
1029625,1,1,,,0,0,1.0,0.0
773699,2,2,,,0,0,1.0,0.0
524682,9,12,0.01,0.6594444444444445,1,1,0.75,0.08333333333333333
471259,1,1,,,0,0,1.0,0.0
317833,10,22,15.090694444444445,14.588194444444444,2,1,0.45454545454545453,0.09090909090909091
916742,2,3,0.0168055555555555,0.0470833333333333,1,1,0.6666666666666666,0.3333333333333333
267116,4,6,0.1755555555555555,0.1377777777777777,1,1,0.6666666666666666,0.16666666666666666
1343401,1,4,61.345,0.5675,1,1,0.25,0.25
1309753,2,5,,,0,0,0.4,0.0
831463,1,2,333.2111111111111,0.3525,1,1,0.5,0.5
672785,18,45,554.6076262626262,1018.0140404040404,3,1,0.4,0.06666666666666667
1004573,5,13,0.0563888888888888,0.0877777777777777,1,1,0.38461538461538464,0.07692307692307693
837675,1,1,0.0994444444444444,0.1675,1,1,1.0,1.0
128324,1,1,,,0,0,1.0,0.0
777414,1,2,,,0,0,0.5,0.0
511400,1,1,,,0,0,1.0,0.0
258107,2,2,,,1,1,1.0,0.5
1077145,3,13,0.0269444444444444,0.0708333333333333,1,1,0.23076923076923078,0.07692307692307693
304828,1,1,,,0,0,1.0,0.0
1253453,1,1,,,0,0,1.0,0.0
1369848,3,13,0.0295833333333333,0.0809722222222222,4,1,0.23076923076923078,0.3076923076923077
338749,1,3,,,0,0,0.3333333333333333,0.0
1225468,1,1,0.0502777777777777,0.0616666666666666,1,1,1.0,1.0
281978,1,1,0.0191666666666666,0.0666666666666666,1,1,1.0,1.0
758906,1,1,,,0,0,1.0,0.0
1085418,2,4,,,0,0,0.5,0.0
1106946,1,1,,,0,0,1.0,0.0
1013847,1,1,0.0,0.0427777777777777,1,1,1.0,1.0
741744,3,5,3005.300833333333,0.04,2,1,0.6,0.4
124478,3,5,,,0,0,0.6,0.0
75627,1,1,,,0,0,1.0,0.0
825275,1,1,,,0,0,1.0,0.0
953662,1,1,,,1,1,1.0,1.0
197591,2,4,250.35972222222225,0.0827777777777777,1,1,0.5,0.25
1367560,4,9,29.069126984126985,0.0700396825396825,2,1,0.4444444444444444,0.2222222222222222
270374,1,1,,,0,0,1.0,0.0
280692,3,22,145.0841666666667,0.1236111111111111,2,1,0.13636363636363635,0.09090909090909091
375966,30,33,,,0,0,0.9090909090909091,0.0
778442,3,7,,,2,1,0.42857142857142855,0.2857142857142857
854164,1,1,,,0,0,1.0,0.0
659305,2,2,,,0,0,1.0,0.0
999047,2,5,0.2252777777777777,0.085,1,1,0.4,0.2
823705,12,21,268.58166666666665,0.1102777777777777,1,1,0.5714285714285714,0.047619047619047616
1371288,5,7,639.1694444444445,0.1147222222222222,3,1,0.7142857142857143,0.42857142857142855
742889,6,18,214.33527777777772,0.0686111111111111,1,1,0.3333333333333333,0.05555555555555555
473940,1,1,,,0,0,1.0,0.0
552123,6,11,383.7402777777778,0.0606666666666666,3,1,0.5454545454545454,0.2727272727272727
657394,1,1,0.0036111111111111,0.0208333333333333,1,1,1.0,1.0
1047132,1,2,,,0,0,0.5,0.0
719127,1,1,,,0,0,1.0,0.0
1043733,1,1,,,0,0,1.0,0.0
308859,1,3,0.1958333333333333,0.1222222222222222,1,1,0.3333333333333333,0.3333333333333333
880181,1,1,,,0,0,1.0,0.0
85073,2,2,,,0,0,1.0,0.0
503800,4,4,0.0019444444444444,0.2991666666666667,1,1,1.0,0.25
630224,3,5,0.0008333333333333,0.0213888888888888,1,1,0.6,0.2
924684,2,4,,,0,0,0.5,0.0
686904,2,2,,,0,0,1.0,0.0
1057266,2,3,249.08805555555557,0.0405555555555555,1,1,0.6666666666666666,0.3333333333333333
167887,3,5,0.0147222222222222,0.06,1,1,0.6,0.2
173405,8,14,,,1,1,0.5714285714285714,0.07142857142857142
718389,1,1,,,0,0,1.0,0.0
73483,4,5,,,1,1,0.8,0.2
836347,1,1,0.0247222222222222,0.0666666666666666,1,1,1.0,1.0
1328165,1,1,,,0,0,1.0,0.0
