default_header,review_body,label
1,"One of the best game music soundtracks - for a game I didn't really play: Despite the fact that I have only played a small portion of the game, the music I heard (plus the connection to Chrono Trigger which was great as well) led me to purchase the soundtrack, and it remains one of my favorite albums. There is an incredible mix of fun, epic, and emotional songs. Those sad and beautiful tracks I especially like, as there's not too many of those kinds of songs in my other video game soundtracks. I must admit that one of the songs (Life-A Distant Promise) has brought tears to my eyes on many occasions.My one complaint about this soundtrack is that they use guitar fretting effects in many of the songs, which I find distracting. But even if those weren't included I would still consider the collection worth it.",1
10001,"Best purchase ever!!!!: We bought this exersaucer when our little guy was barely able to sit upright because we needed a break! We had no idea how much he would love it! He plays with the musical animal buttons like a maniac, he looks like he is conducting his own personal orchestra. Without a doubt, the best baby purchase we have ever made. I'd pay twice the price.",1
20001,"This book was slow, and weak.: Not one of his bests....thank god! It was a very slow, weak, boring, ...I could go on an on! I thikn he shoudl stick to his usual frightening detailed books..this just didn't compare!",0
30001,"A must-read for every southern lady, failed or not!: I LOVE this book. I own few books, as I am a cheapskate and prefer to check things out of the library, but I had to buy this one.It had my snorting with laughter and nodding in agreement as I recognized the basic characteristics of my ""shabby genteel"" family in Florence's - my house is dirty but the silver is gleaming. I even copied my favorite quotes into my battered Bartlett's.There are a few books that I must reread every so often - To Kill a Mockingbird, Gone With The Wind, Lonesome Dove and this one. It's a classic.",1
40001,Horrible: Watch Napoleon if you want funny. This movie sucks. This movie had the lamest jokes ive eever heard. I didnt even know it was a comedy when i watched it. I figured it out when 2 old people started laughing at every other word though. But noone else was laughing. Ha Ha Ha!,0
50001,Toast crashes: I cannot get Toast 7 to compress aTS file with out it crashing under Tiger. If it worked it would be great. Very disappointed.,0
60001,"It's simple,but it's great: It's one of the most entertaining war games ever made. I found two problems: It depends too much on the luck of the dice roll (it may be sometimes unfair), and sometimes it takes too long to finish the game. It's perfect to be played all night long!",1
70001,"Dont waste your money. Or hold your breath.: Do they give half stars? I dont know what the appeal is. She's not pretty and can't sing. I would give her some credit if she wrote her songs but, like many pop artists, she doesn't. The only halfway decent song in the album is ""Drive Me Crazy,"" but in mosts, she howls like a dying cat. Go buy Christina Agulara. She has some form of talent.",0
80001,"What's with the cat?: Since Patsy and I both went to Davidson College, I thought that after a long period of bashing her, I would actually *read* one of her novels to discover for myself the source of the world's fascination with her work.Unfortunately, I picked up this one.Harlequin Romance novels are better than this. Legal briefs are better than this. Self-induced pain is better than this.You get the point. I'm embarrassed that the world knows about Davidson from this book and associates Davidson with Patricia Cornwell. The irony? She endows a scholarship for up-and-coming freshmen that show special promise in writing. At least there's some justice, because there's no mystery here: it's _all_ bad.",0
90001,Dirk Pitt is not Believeable: The biggest disappointment in this novel is the character of Dirk Pitt. He is a superman with no human frailties. The situations he gets in are preposterous. Suspend all rational thought if you want to enjoy this book.,0
